ENTREGAS;NivelServ;LeadTime_dias;Cantidad_kg;Valoracion;Ciudad;Provincia;Cliente;Dolares;OTIF;Orden Perfecta;PendienteCombro
E11563;95%; 13 ; 247 ;Muy Bueno; Loja           ; El Oro          ;C0001002125; $1.172,54 ;90%;75%;NO
E11564;94%; 8 ; 149 ;Bueno; Cuenca         ; Esmeraldas      ;C0001001555; $565,52 ;82%;62%;NO
E11565;87%; 9 ; 176 ;Bueno; Santo Domingo  ; Esmeraldas      ;C0001001384; $351,22 ;77%;51%;NO
E11566;92%; 9 ; 179 ;Muy Bueno; Portoviejo     ; Chimborazo      ;C0001001571; $670,35 ;87%;68%;NO
E11567;92%; 8 ; 149 ;Muy Malo; Santo Domingo  ; Tungurahua      ;C0001002174; $446,28 ;82%;61%;NO
E11568;94%; 11 ; 204 ;Reguar; Guayaquil      ; Santo Domingo   ;C0001002172; $428,02 ;85%;67%;NO
E11569;88%; 12 ; 230 ;Malo; Manta          ; El Oro          ;C0001001810; $505,21 ;84%;61%;NO
E11570;93%; 10 ; 191 ;Bueno; Riobamba       ; Santo Domingo   ;C0001001600; $839,48 ;78%;55%;SI
E11571;92%; 6 ; 119 ;Muy Bueno; Quito          ; El Oro          ;C0001002231; $195,95 ;90%;73%;NO
E11572;96%; 4 ; 85 ;Muy Malo; Loja           ; Loja            ;C0001001631; $178,25 ;92%;80%;NO
E11573;92%; 2 ; 53 ;Muy Bueno; Machala        ; Azuay           ;C0001001172; $189,94 ;81%;59%;NO
E11574;91%; 4 ; 81 ;Muy Malo; Machala        ; El Oro          ;C0001001267; $201,83 ;82%;60%;NO
E11575;84%; 10 ; 189 ;Muy Malo; Loja           ; Loja            ;C0001002135; $678,67 ;80%;53%;NO
E11576;93%; 3 ; 60 ;Reguar; Guayaquil      ; Azuay           ;C0001001986; $59,79 ;84%;64%;NO
E11577;96%; 5 ; 100 ;Muy Malo; Manta          ; Guayas          ;C0001001407; $229,72 ;88%;73%;NO
E11578;92%; 2 ; 51 ;Reguar; Durán          ; El Oro          ;C0001001172; $114,21 ;82%;61%;NO
E11579;98%; 4 ; 80 ;Bueno; Cuenca         ; Azuay           ;C0001002486; $419,69 ;82%;65%;NO
E11580;85%; 3 ; 59 ;Muy Malo; Santo Domingo  ; Manabí          ;C0001001723; $117,10 ;84%;59%;NO
E11581;86%; 12 ; 223 ;Muy Malo; Ambato         ; Esmeraldas      ;C0001002364; $801,29 ;88%;65%;SI
E11582;90%; 8 ; 152 ;Reguar; Loja           ; Chimborazo      ;C0001001017; $834,35 ;85%;64%;NO
E11583;87%; 6 ; 120 ;Reguar; Cuenca         ; Santo Domingo   ;C0001001768; $263,14 ;82%;57%;SI
E11584;93%; 10 ; 194 ;Reguar; Cuenca         ; Manabí          ;C0001001422; $968,95 ;92%;77%;NO
E11585;95%; 9 ; 177 ;Bueno; Riobamba       ; Manabí          ;C0001001525; $371,39 ;85%;67%;SI
E11586;87%; 10 ; 184 ;Bueno; Ambato         ; Chimborazo      ;C0001001781; $440,66 ;86%;63%;NO
E11587;90%; 13 ; 239 ;Muy Bueno; Cuenca         ; Manabí          ;C0001001192; $656,43 ;79%;55%;NO
E11588;91%; 14 ; 257 ;Reguar; Cuenca         ; Manabí          ;C0001001892; $821,54 ;83%;61%;SI
E11589;90%; 1 ; 26 ;Reguar; Cuenca         ; Guayas          ;C0001001063; $28,27 ;86%;65%;NO
E11590;87%; 5 ; 106 ;Muy Bueno; Ambato         ; Manabí          ;C0001002301; $332,67 ;85%;62%;NO
E11591;91%; 10 ; 185 ;Muy Bueno; Santo Domingo  ; Manabí          ;C0001002129; $184,73 ;79%;56%;SI
E11592;91%; 11 ; 212 ;Malo; Guayaquil      ; Pichincha       ;C0001002458; $804,57 ;84%;63%;NO
E11593;89%; 10 ; 184 ;Muy Bueno; Guayaquil      ; Guayas          ;C0001001090; $514,28 ;82%;59%;SI
E11594;91%; 5 ; 105 ;Muy Malo; Portoviejo     ; Manabí          ;C0001001434; $198,99 ;90%;72%;NO
E11595;94%; 10 ; 191 ;Malo; Guayaquil      ; Manabí          ;C0001001268; $629,71 ;82%;62%;SI
E11596;97%; 8 ; 152 ;Muy Bueno; Esmeraldas     ; Santo Domingo   ;C0001002089; $949,44 ;79%;59%;NO
E11597;87%; 3 ; 66 ;Muy Bueno; Manta          ; Esmeraldas      ;C0001001475; $170,59 ;88%;66%;SI
E11598;90%; 3 ; 70 ;Reguar; Portoviejo     ; Azuay           ;C0001002402; $261,38 ;88%;68%;NO
E11599;92%; 9 ; 167 ;Muy Malo; Esmeraldas     ; Chimborazo      ;C0001002350; $400,22 ;85%;65%;NO
E11600;92%; 8 ; 151 ;Reguar; Esmeraldas     ; Chimborazo      ;C0001001683; $723,65 ;83%;62%;NO
E11601;93%; 9 ; 167 ;Malo; Quito          ; Tungurahua      ;C0001002205; $500,37 ;84%;64%;NO
E11602;92%; 11 ; 203 ;Reguar; Portoviejo     ; Guayas          ;C0001002198; $263,59 ;79%;56%;NO
E11603;97%; 9 ; 169 ;Muy Bueno; Riobamba       ; Guayas          ;C0001001113; $506,73 ;83%;65%;NO
E11604;92%; 12 ; 226 ;Muy Bueno; Manta          ; Santo Domingo   ;C0001001606; $316,06 ;87%;68%;NO
E11605;91%; 3 ; 64 ;Malo; Riobamba       ; Santo Domingo   ;C0001001667; $133,83 ;79%;56%;NO
E11606;93%; 6 ; 122 ;Muy Malo; Manta          ; Guayas          ;C0001001573; $341,01 ;86%;67%;NO
E11607;89%; 13 ; 248 ;Muy Bueno; Cuenca         ; Tungurahua      ;C0001002141; $780,16 ;88%;68%;SI
E11608;91%; 12 ; 226 ;Bueno; Cuenca         ; Manabí          ;C0001001016; $948,07 ;90%;72%;SI
E11609;87%; 10 ; 193 ;Reguar; Guayaquil      ; Manabí          ;C0001002154; $385,22 ;88%;66%;NO
E11610;94%; 4 ; 80 ;Malo; Guayaquil      ; Guayas          ;C0001002059; $111,75 ;85%;67%;NO
E11611;98%; 10 ; 191 ;Reguar; Durán          ; Azuay           ;C0001002150; $620,56 ;87%;73%;NO
E11612;94%; 6 ; 113 ;Malo; Ambato         ; Manabí          ;C0001001408; $236,92 ;86%;68%;NO
E11613;96%; 9 ; 171 ;Muy Malo; Machala        ; Loja            ;C0001001807; $307,58 ;77%;56%;NO
E11614;94%; 11 ; 206 ;Muy Bueno; Esmeraldas     ; Loja            ;C0001001279; $391,06 ;82%;62%;NO
E11615;89%; 5 ; 104 ;Bueno; Santo Domingo  ; Guayas          ;C0001001729; $134,77 ;82%;59%;NO
E11616;91%; 14 ; 265 ;Bueno; Durán          ; Manabí          ;C0001001865; $397,10 ;80%;57%;NO
E11617;96%; 12 ; 223 ;Malo; Esmeraldas     ; Guayas          ;C0001001668; $557,20 ;89%;75%;SI
E11618;93%; 5 ; 100 ;Bueno; Portoviejo     ; Manabí          ;C0001001608; $478,99 ;90%;74%;SI
E11619;90%; 4 ; 84 ;Reguar; Portoviejo     ; Santo Domingo   ;C0001001169; $263,66 ;89%;70%;NO
E11620;84%; 9 ; 174 ;Bueno; Santo Domingo  ; Manabí          ;C0001002137; $572,62 ;85%;59%;SI
E11621;89%; 4 ; 85 ;Muy Malo; Guayaquil      ; Chimborazo      ;C0001001627; $93,14 ;79%;54%;SI
E11622;89%; 11 ; 211 ;Bueno; Santo Domingo  ; Azuay           ;C0001002405; $589,88 ;85%;63%;SI
E11623;96%; 7 ; 140 ;Muy Bueno; Ambato         ; Pichincha       ;C0001001199; $398,66 ;86%;70%;NO
E11624;95%; 10 ; 185 ;Muy Bueno; Santo Domingo  ; Pichincha       ;C0001002437; $369,70 ;79%;58%;NO
E11625;88%; 5 ; 96 ;Reguar; Riobamba       ; Esmeraldas      ;C0001001497; $549,93 ;85%;62%;SI
E11626;89%; 4 ; 76 ;Reguar; Portoviejo     ; Guayas          ;C0001002373; $302,68 ;88%;68%;NO
E11627;88%; 9 ; 174 ;Bueno; Machala        ; Chimborazo      ;C0001002418; $546,97 ;81%;57%;NO
E11628;95%; 4 ; 87 ;Reguar; Quito          ; Guayas          ;C0001002285; $221,47 ;84%;66%;NO
E11629;88%; 14 ; 266 ;Bueno; Riobamba       ; Guayas          ;C0001001204; $557,84 ;87%;65%;NO
E11630;94%; 12 ; 231 ;Muy Bueno; Riobamba       ; Loja            ;C0001001500; $877,12 ;84%;65%;NO
E11631;91%; 9 ; 171 ;Bueno; Cuenca         ; Esmeraldas      ;C0001001346; $307,31 ;84%;63%;NO
E11632;91%; 8 ; 158 ;Reguar; Manta          ; Chimborazo      ;C0001001013; $299,69 ;81%;59%;NO
E11633;94%; 6 ; 123 ;Bueno; Ambato         ; Guayas          ;C0001002495; $294,77 ;84%;65%;SI
E11634;94%; 5 ; 99 ;Malo; Guayaquil      ; Chimborazo      ;C0001001059; $444,69 ;80%;59%;SI
E11635;87%; 4 ; 77 ;Malo; Machala        ; El Oro          ;C0001001339; $160,88 ;80%;55%;SI
E11636;88%; 5 ; 102 ;Muy Bueno; Portoviejo     ; Azuay           ;C0001002444; $350,66 ;81%;57%;NO
E11637;90%; 6 ; 116 ;Bueno; Riobamba       ; Loja            ;C0001002123; $347,10 ;79%;55%;SI
E11638;90%; 2 ; 50 ;Malo; Ambato         ; Pichincha       ;C0001001663; $89,46 ;90%;71%;NO
E11639;93%; 9 ; 176 ;Muy Malo; Ambato         ; Manabí          ;C0001001927; $632,84 ;87%;69%;NO
E11640;90%; 1 ; 23 ;Bueno; Cuenca         ; Pichincha       ;C0001001218; $113,50 ;80%;56%;SI
E11641;92%; 10 ; 192 ;Reguar; Quito          ; Chimborazo      ;C0001001581; $623,22 ;83%;62%;NO
E11642;89%; 9 ; 175 ;Reguar; Cuenca         ; Loja            ;C0001001190; $663,75 ;90%;71%;NO
E11643;88%; 12 ; 230 ;Reguar; Guayaquil      ; Guayas          ;C0001001698; $505,21 ;87%;65%;NO
E11644;94%; 6 ; 115 ;Muy Malo; Machala        ; Guayas          ;C0001001824; $275,57 ;83%;63%;NO
E11645;90%; 6 ; 125 ;Muy Malo; Durán          ; Manabí          ;C0001001371; $448,92 ;88%;68%;SI
E11646;96%; 4 ; 89 ;Bueno; Loja           ; Guayas          ;C0001001846; $173,32 ;90%;76%;NO
E11647;94%; 3 ; 65 ;Muy Malo; Quito          ; Manabí          ;C0001001451; $243,08 ;80%;59%;SI
E11648;91%; 6 ; 123 ;Bueno; Santo Domingo  ; Esmeraldas      ;C0001002182; $306,83 ;80%;57%;NO
E11649;91%; 13 ; 248 ;Reguar; Loja           ; Esmeraldas      ;C0001001515; $520,23 ;85%;64%;NO
E11650;90%; 11 ; 211 ;Muy Malo; Machala        ; Loja            ;C0001002155; $463,54 ;85%;64%;NO
E11651;93%; 11 ; 208 ;Muy Malo; Guayaquil      ; Guayas          ;C0001001337; $374,02 ;87%;69%;NO
E11652;94%; 12 ; 224 ;Bueno; Portoviejo     ; Guayas          ;C0001001943; $537,17 ;85%;67%;SI
E11653;92%; 10 ; 189 ;Muy Malo; Machala        ; Pichincha       ;C0001001444; $566,28 ;77%;53%;NO
E11654;91%; 10 ; 195 ;Muy Bueno; Santo Domingo  ; El Oro          ;C0001001224; $730,24 ;89%;71%;NO
E11655;94%; 9 ; 171 ;Malo; Santo Domingo  ; Manabí          ;C0001001394; $307,48 ;80%;59%;NO
E11656;92%; 5 ; 98 ;Reguar; Riobamba       ; Azuay           ;C0001001560; $249,29 ;88%;70%;SI
E11657;95%; 1 ; 29 ;Malo; Esmeraldas     ; Guayas          ;C0001001025; $69,24 ;89%;74%;SI
E11658;91%; 10 ; 188 ;Muy Bueno; Esmeraldas     ; Loja            ;C0001001916; $187,73 ;82%;60%;NO
E11659;88%; 5 ; 103 ;Bueno; Esmeraldas     ; Manabí          ;C0001002446; $615,84 ;86%;64%;SI
E11660;89%; 8 ; 150 ;Bueno; Manta          ; Chimborazo      ;C0001002068; $164,64 ;91%;72%;NO
E11661;94%; 11 ; 214 ;Muy Malo; Riobamba       ; Pichincha       ;C0001001184; $545,24 ;80%;59%;SI
E11662;93%; 12 ; 227 ;Malo; Santo Domingo  ; Pichincha       ;C0001001226; $498,94 ;85%;66%;SI
E11663;87%; 4 ; 81 ;Muy Bueno; Loja           ; Santo Domingo   ;C0001001230; $157,19 ;85%;62%;NO
E11664;88%; 5 ; 100 ;Malo; Durán          ; Azuay           ;C0001001829; $229,17 ;85%;62%;NO
E11665;88%; 14 ; 265 ;Muy Malo; Riobamba       ; Azuay           ;C0001001086; $793,92 ;79%;54%;NO
E11666;85%; 9 ; 168 ;Muy Bueno; Santo Domingo  ; Manabí          ;C0001001671; $276,46 ;88%;65%;NO
E11667;96%; 7 ; 140 ;Malo; Santo Domingo  ; Loja            ;C0001002310; $461,60 ;85%;68%;NO
E11668;91%; 9 ; 178 ;Muy Bueno; Loja           ; El Oro          ;C0001002112; $177,73 ;80%;57%;SI
E11669;89%; 4 ; 84 ;Muy Bueno; Guayaquil      ; Tungurahua      ;C0001001895; $376,52 ;81%;57%;NO
E11670;93%; 4 ; 79 ;Muy Bueno; Manta          ; Esmeraldas      ;C0001001215; $267,89 ;82%;61%;NO
E11671;92%; 6 ; 124 ;Muy Malo; Loja           ; Guayas          ;C0001002336; $198,02 ;89%;71%;NO
E11672;90%; 11 ; 206 ;Muy Bueno; Riobamba       ; El Oro          ;C0001002220; $781,66 ;84%;62%;SI
E11673;93%; 12 ; 228 ;Muy Bueno; Loja           ; Guayas          ;C0001002136; $523,92 ;87%;69%;SI
E11674;93%; 2 ; 47 ;Reguar; Riobamba       ; Santo Domingo   ;C0001001116; $292,44 ;84%;64%;SI
E11675;92%; 11 ; 203 ;Reguar; Manta          ; Loja            ;C0001001194; $608,28 ;85%;65%;NO
E11676;92%; 3 ; 67 ;Reguar; Portoviejo     ; Guayas          ;C0001001892; $200,28 ;83%;62%;NO
E11677;95%; 5 ; 96 ;Muy Bueno; Santo Domingo  ; Santo Domingo   ;C0001002017; $311,51 ;87%;70%;NO
E11678;95%; 8 ; 152 ;Bueno; Ambato         ; El Oro          ;C0001001321; $455,55 ;87%;70%;NO
E11679;91%; 10 ; 189 ;Muy Malo; Loja           ; Manabí          ;C0001001973; $415,21 ;82%;60%;NO
E11680;93%; 4 ; 84 ;Malo; Ambato         ; Guayas          ;C0001001549; $251,37 ;85%;66%;NO
E11681;91%; 11 ; 209 ;Reguar; Santo Domingo  ; Chimborazo      ;C0001001180; $407,02 ;84%;63%;NO
E11682;93%; 8 ; 160 ;Muy Malo; Cuenca         ; Loja            ;C0001002429; $303,60 ;80%;58%;NO
E11683;97%; 7 ; 135 ;Malo; Quito          ; Loja            ;C0001002178; $674,55 ;80%;61%;NO
E11684;93%; 12 ; 226 ;Reguar; Guayaquil      ; Guayas          ;C0001001515; $293,53 ;86%;67%;NO
E11685;94%; 3 ; 65 ;Reguar; Guayaquil      ; Guayas          ;C0001002478; $223,63 ;84%;65%;NO
E11686;84%; 3 ; 61 ;Muy Malo; Quito          ; Guayas          ;C0001001836; $90,78 ;80%;53%;NO
E11687;90%; 7 ; 134 ;Muy Malo; Cuenca         ; Pichincha       ;C0001001118; $360,99 ;87%;67%;NO
E11688;94%; 6 ; 114 ;Malo; Machala        ; Manabí          ;C0001002028; $187,80 ;80%;59%;NO
E11689;94%; 3 ; 65 ;Malo; Machala        ; Manabí          ;C0001001496; $388,92 ;91%;76%;NO
E11690;93%; 5 ; 103 ;Malo; Guayaquil      ; Pichincha       ;C0001001435; $472,83 ;87%;69%;SI
E11691;87%; 10 ; 195 ;Reguar; Riobamba       ; Pichincha       ;C0001002008; $934,13 ;91%;71%;NO
E11692;96%; 11 ; 211 ;Muy Malo; Durán          ; Esmeraldas      ;C0001002435; $801,34 ;87%;71%;NO
E11693;86%; 1 ; 35 ;Malo; Guayaquil      ; Santo Domingo   ;C0001001533; $159,07 ;81%;55%;SI
E11694;89%; 12 ; 222 ;Muy Malo; Portoviejo     ; Guayas          ;C0001001174; $576,34 ;88%;68%;NO
E11695;96%; 2 ; 48 ;Muy Malo; Ambato         ; Azuay           ;C0001002145; $299,25 ;82%;63%;NO
E11696;91%; 4 ; 82 ;Muy Malo; Machala        ; El Oro          ;C0001002195; $245,19 ;83%;61%;SI
E11697;95%; 1 ; 31 ;Muy Bueno; Guayaquil      ; Pichincha       ;C0001002076; $92,55 ;87%;70%;NO
E11698;86%; 8 ; 156 ;Reguar; Quito          ; Santo Domingo   ;C0001001406; $404,51 ;84%;59%;NO
E11699;86%; 10 ; 195 ;Bueno; Riobamba       ; Manabí          ;C0001001864; $875,61 ;89%;67%;SI
E11700;98%; 9 ; 175 ;Malo; Quito          ; Guayas          ;C0001002087; $769,74 ;86%;71%;SI
E11701;96%; 7 ; 135 ;Muy Bueno; Machala        ; Azuay           ;C0001002280; $303,48 ;82%;63%;NO
E11702;87%; 12 ; 224 ;Malo; Manta          ; Chimborazo      ;C0001001688; $559,03 ;79%;53%;NO
E11703;94%; 12 ; 227 ;Muy Bueno; Quito          ; Esmeraldas      ;C0001001579; $998,01 ;83%;63%;NO
E11704;93%; 5 ; 107 ;Reguar; Manta          ; Guayas          ;C0001001521; $213,58 ;86%;67%;NO
E11705;93%; 12 ; 222 ;Reguar; Esmeraldas     ; El Oro          ;C0001002287; $621,01 ;82%;61%;SI
E11706;94%; 6 ; 122 ;Bueno; Loja           ; Manabí          ;C0001002063; $292,37 ;80%;59%;SI
E11707;94%; 12 ; 229 ;Reguar; Riobamba       ; Manabí          ;C0001001794; $320,35 ;76%;53%;NO
E11708;84%; 6 ; 121 ;Muy Malo; Loja           ; Loja            ;C0001001467; $451,95 ;79%;51%;NO
E11709;91%; 12 ; 233 ;Bueno; Cuenca         ; Manabí          ;C0001001032; $256,00 ;88%;69%;NO
E11710;86%; 9 ; 167 ;Muy Malo; Machala        ; Pichincha       ;C0001001678; $433,11 ;82%;57%;NO
E11711;88%; 7 ; 134 ;Muy Malo; Ambato         ; Azuay           ;C0001001964; $320,74 ;87%;65%;SI
E11712;92%; 9 ; 169 ;Reguar; Esmeraldas     ; Azuay           ;C0001002105; $928,18 ;84%;64%;NO
E11713;94%; 4 ; 82 ;Bueno; Guayaquil      ; Pichincha       ;C0001001779; $270,01 ;89%;73%;NO
E11714;94%; 8 ; 150 ;Bueno; Riobamba       ; Guayas          ;C0001001598; $284,66 ;91%;76%;SI
E11715;91%; 12 ; 224 ;Muy Malo; Durán          ; Manabí          ;C0001002116; $1.342,38 ;80%;57%;NO
E11716;88%; 7 ; 135 ;Muy Bueno; Esmeraldas     ; Esmeraldas      ;C0001001888; $457,78 ;81%;57%;NO
E11717;90%; 11 ; 203 ;Malo; Portoviejo     ; Chimborazo      ;C0001001463; $699,32 ;86%;65%;NO
E11718;87%; 9 ; 177 ;Muy Bueno; Loja           ; Manabí          ;C0001002496; $300,24 ;84%;60%;NO
E11719;97%; 12 ; 229 ;Malo; Esmeraldas     ; Esmeraldas      ;C0001001623; $1.144,55 ;85%;69%;NO
E11720;89%; 4 ; 76 ;Reguar; Quito          ; Esmeraldas      ;C0001002304; $257,28 ;90%;71%;NO
E11721;97%; 10 ; 187 ;Muy Bueno; Quito          ; Loja            ;C0001001971; $560,73 ;88%;74%;NO
E11722;95%; 12 ; 225 ;Bueno; Loja           ; Loja            ;C0001001072; $854,43 ;90%;75%;NO
E11723;94%; 5 ; 102 ;Malo; Quito          ; Azuay           ;C0001001522; $183,28 ;81%;60%;SI
E11724;89%; 13 ; 246 ;Malo; Manta          ; Pichincha       ;C0001001311; $1.351,19 ;77%;52%;NO
E11725;90%; 11 ; 208 ;Reguar; Quito          ; Manabí          ;C0001001835; $778,88 ;79%;55%;NO
E11726;90%; 9 ; 172 ;Muy Malo; Durán          ; Santo Domingo   ;C0001002391; $618,12 ;84%;62%;SI
E11727;93%; 12 ; 232 ;Malo; Cuenca         ; Pichincha       ;C0001001574; $973,52 ;77%;54%;NO
E11728;92%; 8 ; 150 ;Bueno; Machala        ; Manabí          ;C0001002332; $494,21 ;87%;68%;NO
E11729;94%; 10 ; 190 ;Muy Malo; Portoviejo     ; Chimborazo      ;C0001002223; $616,92 ;87%;70%;NO
E11730;91%; 10 ; 189 ;Reguar; Esmeraldas     ; Manabí          ;C0001002335; $1.085,20 ;81%;59%;NO
E11731;90%; 12 ; 230 ;Muy Bueno; Manta          ; Manabí          ;C0001002258; $758,01 ;79%;55%;NO
E11732;94%; 6 ; 119 ;Malo; Loja           ; Esmeraldas      ;C0001001482; $130,70 ;82%;62%;NO
E11733;96%; 7 ; 139 ;Bueno; Guayaquil      ; El Oro          ;C0001001195; $138,88 ;80%;60%;NO
E11734;84%; 7 ; 143 ;Muy Bueno; Quito          ; Manabí          ;C0001001982; $370,55 ;90%;67%;NO
E11735;95%; 2 ; 41 ;Bueno; Machala        ; Manabí          ;C0001001959; $85,79 ;81%;61%;NO
E11736;88%; 10 ; 188 ;Malo; Ambato         ; Pichincha       ;C0001002097; $412,81 ;77%;51%;NO
E11737;93%; 6 ; 117 ;Bueno; Santo Domingo  ; El Oro          ;C0001002307; $210,22 ;84%;64%;SI
E11738;89%; 11 ; 205 ;Reguar; Manta          ; El Oro          ;C0001001812; $266,07 ;86%;65%;NO
E11739;89%; 9 ; 174 ;Reguar; Cuenca         ; Esmeraldas      ;C0001002287; $798,88 ;90%;71%;NO
E11740;92%; 14 ; 268 ;Muy Bueno; Guayaquil      ; Guayas          ;C0001001192; $749,73 ;81%;59%;NO
E11741;97%; 6 ; 119 ;Bueno; Quito          ; Esmeraldas      ;C0001001737; $475,64 ;77%;56%;SI
E11742;89%; 6 ; 123 ;Reguar; Durán          ; El Oro          ;C0001001742; $368,01 ;85%;63%;NO
E11743;92%; 12 ; 223 ;Malo; Loja           ; Manabí          ;C0001002026; $1.336,56 ;83%;62%;NO
E11744;98%; 8 ; 151 ;Muy Malo; Guayaquil      ; Loja            ;C0001001113; $271,69 ;88%;74%;SI
E11745;85%; 2 ; 50 ;Malo; Loja           ; Azuay           ;C0001002051; $235,36 ;81%;55%;NO
E11746;90%; 12 ; 223 ;Bueno; Cuenca         ; Esmeraldas      ;C0001002185; $1.391,88 ;82%;59%;NO
E11747;97%; 9 ; 178 ;Bueno; Durán          ; Santo Domingo   ;C0001002137; $711,64 ;77%;56%;NO
E11748;90%; 13 ; 242 ;Malo; Esmeraldas     ; Guayas          ;C0001001915; $664,68 ;90%;71%;NO
E11749;87%; 2 ; 45 ;Muy Bueno; Manta          ; Esmeraldas      ;C0001002151; $111,53 ;85%;62%;SI
E11750;95%; 12 ; 229 ;Bueno; Durán          ; Azuay           ;C0001002166; $1.098,48 ;90%;75%;NO
E11751;93%; 13 ; 247 ;Malo; Riobamba       ; Guayas          ;C0001002284; $493,58 ;79%;57%;NO
E11752;98%; 6 ; 114 ;Muy Malo; Loja           ; Esmeraldas      ;C0001001099; $387,40 ;77%;57%;SI
E11753;88%; 12 ; 227 ;Muy Malo; Portoviejo     ; Loja            ;C0001002172; $815,90 ;79%;54%;SI
E11754;89%; 7 ; 134 ;Muy Bueno; Santo Domingo  ; El Oro          ;C0001002248; $320,81 ;82%;59%;SI
E11755;91%; 7 ; 136 ;Malo; Guayaquil      ; Pichincha       ;C0001002470; $597,21 ;88%;69%;NO
E11756;86%; 8 ; 152 ;Reguar; Machala        ; Manabí          ;C0001002206; $227,37 ;84%;59%;NO
E11757;90%; 12 ; 228 ;Muy Bueno; Cuenca         ; Guayas          ;C0001002334; $683,10 ;85%;64%;NO
E11758;85%; 6 ; 113 ;Malo; Esmeraldas     ; Guayas          ;C0001002203; $281,38 ;83%;57%;NO
E11759;90%; 1 ; 22 ;Malo; Guayaquil      ; Chimborazo      ;C0001002454; $81,38 ;88%;68%;NO
E11760;96%; 11 ; 211 ;Malo; Portoviejo     ; Santo Domingo   ;C0001002235; $316,32 ;88%;73%;NO
E11761;87%; 13 ; 249 ;Muy Malo; Esmeraldas     ; Pichincha       ;C0001002155; $447,50 ;77%;51%;NO
E11762;93%; 4 ; 78 ;Reguar; Durán          ; Guayas          ;C0001001683; $245,04 ;85%;66%;NO
E11763;88%; 8 ; 159 ;Malo; Esmeraldas     ; Manabí          ;C0001001344; $190,37 ;89%;68%;NO
E11764;92%; 9 ; 177 ;Reguar; Santo Domingo  ; Guayas          ;C0001001499; $503,77 ;85%;65%;NO
E11765;91%; 8 ; 154 ;Reguar; Riobamba       ; Loja            ;C0001002220; $960,81 ;89%;71%;NO
E11766;88%; 6 ; 124 ;Malo; Ambato         ; Azuay           ;C0001001001; $222,55 ;81%;57%;NO
E11767;95%; 14 ; 262 ;Muy Malo; Cuenca         ; Guayas          ;C0001002390; $785,55 ;81%;61%;NO
E11768;92%; 8 ; 155 ;Muy Bueno; Guayaquil      ; El Oro          ;C0001002116; $325,00 ;90%;73%;NO
E11769;83%; 6 ; 112 ;Reguar; Durán          ; Pichincha       ;C0001002100; $674,94 ;83%;56%;NO
E11770;92%; 11 ; 210 ;Reguar; Santo Domingo  ; Loja            ;C0001001316; $534,89 ;91%;75%;NO
E11771;91%; 7 ; 140 ;Muy Malo; Cuenca         ; Manabí          ;C0001002008; $251,51 ;82%;60%;NO
E11772;90%; 10 ; 197 ;Muy Bueno; Esmeraldas     ; Manabí          ;C0001001167; $393,40 ;78%;54%;SI
E11773;97%; 7 ; 143 ;Reguar; Ambato         ; El Oro          ;C0001002175; $185,78 ;83%;65%;NO
E11774;88%; 7 ; 134 ;Muy Bueno; Durán          ; Chimborazo      ;C0001002167; $434,33 ;86%;64%;NO
E11775;93%; 4 ; 81 ;Malo; Cuenca         ; Pichincha       ;C0001002143; $266,61 ;89%;72%;NO
E11776;90%; 12 ; 222 ;Muy Malo; Portoviejo     ; Manabí          ;C0001001297; $798,12 ;82%;59%;SI
E11777;95%; 11 ; 205 ;Bueno; Santo Domingo  ; Manabí          ;C0001001042; $409,70 ;85%;67%;NO
E11778;92%; 9 ; 173 ;Muy Malo; Riobamba       ; Chimborazo      ;C0001001703; $449,18 ;89%;71%;NO
E11779;90%; 4 ; 84 ;Reguar; Loja           ; Manabí          ;C0001001443; $481,28 ;88%;68%;NO
E11780;89%; 4 ; 88 ;Muy Bueno; Ambato         ; Manabí          ;C0001001944; $403,28 ;88%;68%;SI
E11781;93%; 12 ; 223 ;Muy Malo; Riobamba       ; El Oro          ;C0001001488; $434,44 ;81%;60%;NO
E11782;92%; 11 ; 206 ;Muy Bueno; Portoviejo     ; El Oro          ;C0001001344; $925,92 ;77%;53%;SI
E11783;93%; 11 ; 215 ;Bueno; Durán          ; Azuay           ;C0001002486; $1.020,25 ;90%;74%;NO
E11784;91%; 10 ; 187 ;Malo; Santo Domingo  ; Guayas          ;C0001002250; $560,19 ;89%;71%;NO
E11785;90%; 4 ; 84 ;Malo; Guayaquil      ; Chimborazo      ;C0001001436; $355,73 ;82%;59%;NO
E11786;89%; 1 ; 31 ;Muy Bueno; Loja           ; Manabí          ;C0001001284; $122,68 ;80%;56%;NO
E11787;89%; 3 ; 61 ;Reguar; Portoviejo     ; Pichincha       ;C0001001440; $84,94 ;85%;63%;NO
E11788;93%; 14 ; 262 ;Muy Bueno; Portoviejo     ; Loja            ;C0001001092; $314,15 ;82%;61%;SI
E11789;88%; 10 ; 191 ;Muy Bueno; Quito          ; Chimborazo      ;C0001001164; $600,52 ;79%;54%;NO
E11790;89%; 7 ; 138 ;Reguar; Santo Domingo  ; Tungurahua      ;C0001001553; $330,41 ;85%;63%;NO
E11791;89%; 8 ; 158 ;Muy Malo; Portoviejo     ; Manabí          ;C0001001648; $378,41 ;82%;59%;NO
E11792;89%; 2 ; 44 ;Bueno; Guayaquil      ; Loja            ;C0001001962; $131,01 ;86%;65%;SI
